"region","hemi","community","community_name","mean_beta","mean_tvalue"
"1","left",2,"SM",0.0035801399007752,1.72955644794336
"1","right",2,"SM",-0.00251246517290385,-1.21128095979435
"10d","left",10,"DMN",0.00372472147262782,1.79481325294651
"10d","right",10,"DMN",-0.000268518436284279,-0.129483300193825
"10pp","right",10,"DMN",0.000935363569423545,0.451045802240045
"10r","left",10,"DMN",0.0070952371939716,3.42884243082584
"10r","right",10,"DMN",-0.000986375165493319,-0.476226600605513
"10v","left",10,"DMN",0.00332413511605622,1.60526825502612
"10v","right",10,"DMN",0.00681688278034393,3.29195310505798
"11l","left",8,"FPN",0.00373549642767861,1.80117245215163
"11l","right",8,"FPN",0.00358558393189897,1.73310606855491
"13l","left",8,"FPN",0.0043913086441187,2.11674925416481
"13l","right",8,"FPN",0.0039305642484605,1.8933930309062
"2","left",2,"SM",-0.000673451728792014,-0.324223945044988
"2","right",2,"SM",-0.000250320258720587,-0.120657301904311
"23c","left",3,"SAL",0.00207627405141629,1.00127421022097
"23c","right",3,"SAL",0.00141685550473766,0.683067959297185
"23d","left",10,"DMN",0.00199037559611658,0.958185951068153
"23d","right",10,"DMN",-0.00135858101366176,-0.655748999306322
"24dd","left",2,"SM",-2.78074016947978e-05,-0.0133979769720732
"24dd","right",2,"SM",-0.000294554211677851,-0.141817235299529
"24dv","left",2,"SM",-0.00444954940810809,-2.15013978813495
"24dv","right",2,"SM",0.00185047716097128,0.89313214793794
"25","left",10,"DMN",0.00101344434682592,0.488211072988229
"25","right",10,"DMN",0.00214014157364783,1.0327139949377
"31a","left",10,"DMN",-0.00380166164216802,-1.83421839371581
"31a","right",10,"DMN",-0.0017161022057946,-0.828039185162243
"31pd","left",10,"DMN",0.00355933660142261,1.71659645666627
"31pd","right",10,"DMN",-0.000756752339435618,-0.36468163595308
"31pv","left",10,"DMN",-4.83103494516277e-05,-0.0232912176998923
"31pv","right",10,"DMN",0.004143364113022,1.99667208354515
"33pr","left",3,"SAL",7.70195068953429e-05,0.0371262628575684
"33pr","right",3,"SAL",0.000485951401264794,0.234504854324785
"3a","left",2,"SM",0.00330599140820657,1.58307454219182
"3a","right",2,"SM",0.00301732105033304,1.44544722017599
"3b","left",2,"SM",0.00341002012636034,1.646349310839
"3b","right",2,"SM",0.00361268204262059,1.73949427888157
"4","left",2,"SM",0.00465927319311325,2.23025312230377
"4","right",2,"SM",0.00440192600502623,2.12205259869345
"43","left",9,"AUD",0.00447372016129834,2.15724198086038
"43","right",9,"AUD",0.00402912116274183,1.94314542287874
"44","left",8,"FPN",0.00100971705141056,0.486820485526859
"44","right",8,"FPN",0.00266893179230691,1.29004851747285
"45","left",7,"LANG",-0.000714531839124277,-0.344347278373753
"45","right",7,"LANG",0.00391000865717761,1.8863045818549
"46","left",3,"SAL",-0.000777234014272638,-0.374935568309199
"46","right",3,"SAL",0.00260290436836845,1.25785967246785
"47l","left",7,"LANG",-0.00056396823054675,-0.272069121340465
"47l","right",10,"DMN",0.00272895856117924,1.31830069175921
"47m","left",10,"DMN",0.00206747615224204,0.99790698568045
"47m","right",10,"DMN",-6.69348451051894e-05,-0.0322593747767035
