"region","hemi","community","community_name","mean_beta","mean_tvalue"
"1","left",2,"SM",-0.00172632129267357,-0.834519033199689
"1","right",2,"SM",0.000961345528023015,0.464110010462935
"10d","left",10,"DMN",0.00118799250026202,0.570059528568405
"10d","right",10,"DMN",0.00577888942823547,2.78404015601202
"10pp","right",10,"DMN",0.00289402525285547,1.39552837354549
"10r","left",10,"DMN",0.00127115003538605,0.612991999955409
"10r","right",10,"DMN",0.000356815046725649,0.171904743473585
"10v","left",10,"DMN",0.00365244110878675,1.75963386140601
"10v","right",10,"DMN",0.00101869249670755,0.490356296019311
"11l","left",8,"FPN",0.00439834268734493,2.11261748703063
"11l","right",8,"FPN",0.00189077365628782,0.909210166648769
"13l","left",8,"FPN",0.00204084140064744,0.982554405373697
"13l","right",8,"FPN",0.000485959816349669,0.234156994330635
"2","left",2,"SM",0.00408820757542919,1.9714447663638
"2","right",2,"SM",0.00142276343796279,0.684336685682627
"23c","left",3,"SAL",-0.00063897566334611,-0.307317241543243
"23c","right",3,"SAL",0.000348533047801047,0.167637790705384
"23d","left",10,"DMN",0.00585559245545702,2.81051757767142
"23d","right",10,"DMN",0.00187599073027387,0.901543702156215
"24dd","left",2,"SM",0.00134690473372949,0.649799498555697
"24dd","right",2,"SM",0.00162898937788639,0.784664701881841
"24dv","left",2,"SM",-0.00356544541012974,-1.71803532505733
"24dv","right",2,"SM",-0.00165778977052282,-0.798829711586107
"25","left",10,"DMN",0.00173792243155167,0.838055304269707
"25","right",10,"DMN",0.00345456113195472,1.66364911790072
"31a","left",10,"DMN",0.00280168045926507,1.34366287851084
"31a","right",10,"DMN",0.00102227334982171,0.492755320103017
"31pd","left",10,"DMN",0.002933724825839,1.41330371109712
"31pd","right",10,"DMN",0.000596410933062287,0.286696113594321
"31pv","left",10,"DMN",-0.00280215878859441,-1.35040826775609
"31pv","right",10,"DMN",0.00368878708492479,1.77622823118738
"33pr","left",3,"SAL",4.85200730078557e-05,0.0234170519566495
"33pr","right",3,"SAL",-0.00074170794955246,-0.35662053029417
"3a","left",2,"SM",-0.00111841442526997,-0.538513203816209
"3a","right",2,"SM",0.00175584708248152,0.846630319904721
"3b","left",2,"SM",5.9741780208637e-05,0.0288232843669703
"3b","right",2,"SM",0.000559276579669559,0.269845292033213
"4","left",2,"SM",0.000641209877324343,0.30922259056214
"4","right",2,"SM",0.00332895557640715,1.60658136773939
"43","left",9,"AUD",0.00125402141665669,0.60346626438597
"43","right",9,"AUD",-0.000963950511969178,-0.464936736414236
"44","left",8,"FPN",-0.000184398525408199,-0.0887862026782764
"44","right",8,"FPN",0.00314800133999923,1.51321995977014
"45","left",7,"LANG",0.0018301668189905,0.883239194576706
"45","right",7,"LANG",0.00224335284476818,1.08124030960322
"46","left",3,"SAL",0.00542557290828094,2.60081588370038
"46","right",3,"SAL",0.00401816566452207,1.92873594576361
"47l","left",7,"LANG",0.00700792215632344,3.37743363069821
"47l","right",10,"DMN",0.00034531341691294,0.16652905010265
"47m","left",10,"DMN",0.000782639492364655,0.377641869051469
"47m","right",10,"DMN",0.00124343255208094,0.598625218872764
"47s","left",10,"DMN",0.000164606238127416,0.0794572218697476
"47s","right",10,"DMN",0.00567703845935654,2.74354618639694
"52","left",9,"AUD",-0.00234538144749842,-1.13084962730791
"52","right",9,"AUD",-0.00101207502062022,-0.488277383178853
"55b","left",7,"LANG",0.00358211318942726,1.72915174718076
"55b","right",7,"LANG",-4.86611161771718e-05,-0.0234509463005952
"5L","left",2,"SM",0.0014581077629965,0.703582743672911
"5L","right",2,"SM",0.00364169968462806,1.75441100064392
"5m","left",2,"SM",-0.00305982774123425,-1.47761495205179
"5m","right",2,"SM",0.000547672161687897,0.263049135139494
"5mv","left",3,"SAL",0.0119009526815722,5.74695969621884
"5mv","right",3,"SAL",0.00253559341664821,1.21949954964126
"6a","left",6,"DAN",-0.00259437750951514,-1.24642986970749
"6a","right",6,"DAN",0.00140719683118631,0.675773312574902
"6d","left",2,"SM",0.00332107718506251,1.59824372343894
"6d","right",2,"SM",0.000661584437903257,0.319176160716998
"6ma","left",3,"SAL",0.00145463085652888,0.701051020794813
"6ma","right",3,"SAL",0.0052438121558392,2.5152713041108
"6mp","left",2,"SM",0.00164672236240669,0.792286370138817
"6mp","right",2,"SM",-0.00142820876355423,-0.687260765669731
"6r","left",6,"DAN",-0.00195021536686106,-0.941160063854525
"6r","right",3,"SAL",0.00249039243477308,1.1967653456935
"6v","left",2,"SM",-0.0011086340619475,-0.534102671434493
"6v","right",2,"SM",0.00528209209283357,2.53785819121361
"7AL","left",6,"DAN",0.0033672453704278,1.62567280563689
"7AL","right",6,"DAN",0.000285520020282416,0.137762727947516
"7Am","left",11,"MTL",-0.0019387987862834,-0.932990613371048
"7Am","right",11,"MTL",0.000420772527707829,0.201910347889701
"7PC","left",6,"DAN",-0.00233510306118594,-1.12600162947192
"7PC","right",6,"DAN",0.000671551109721392,0.323184110901798
"7PL","left",11,"MTL",NA,NA
"7PL","right",11,"MTL",NA,NA
"7Pm","left",11,"MTL",0.00111463564668797,0.534033627022756
"7Pm","right",11,"MTL",-0.0001219590317267,-0.0587386160353448
"7m","left",10,"DMN",-0.000337052345751824,-0.162007954766933
"7m","right",10,"DMN",0.00181766110939072,0.872755831693039
"8Ad","left",10,"DMN",-0.00212449833257244,-1.02381631299777
"8Ad","right",10,"DMN",0.00157661863953042,0.757746717886348
"8Av","left",10,"DMN",-0.00589358002785666,-2.83184232661761
"8Av","right",8,"FPN",0.00207442956091386,0.990781756787112
"8BL","left",10,"DMN",0.0046375848057061,2.23702350996289
"8BL","right",10,"DMN",-0.000743023926832266,-0.357416930326206
"8BM","left",8,"FPN",0.00323120535044953,1.55773308443307
"8BM","right",8,"FPN",0.00391017050011404,1.88301901886801
"8C","left",8,"FPN",0.000438052506856474,0.210589756243984
"8C","right",8,"FPN",-0.00220339563817253,-1.05531302362505
"9-46d","left",3,"SAL",0.00452933031137402,2.17849954098237
"9-46d","right",3,"SAL",0.00266307943115142,1.28008820097903
"9a","left",10,"DMN",0.0047100533696138,2.25119872154593
"9a","right",10,"DMN",0.00584910006973731,2.82061204832025
"9m","left",10,"DMN",0.00453265247522141,2.17174224138173
"9m","right",10,"DMN",-0.000583981919512101,-0.280239522366503
"9p","left",10,"DMN",-0.000913662450924431,-0.438631075722821
"9p","right",10,"DMN",-0.00102796294929894,-0.49594171663296
"A1","left",9,"AUD",0.000141022058288212,0.0672471295381168
"A1","right",9,"AUD",0.00221853045605782,1.0669267467162
"A4","left",9,"AUD",-0.00198147719336313,-0.950474230343889
"A4","right",9,"AUD",-0.00273746435382907,-1.30575740370886
"A5","left",7,"LANG",0.00288164804343429,1.38441717593788
"A5","right",7,"LANG",0.00379265599070073,1.8233943766385
"AAIC","left",3,"SAL",0.00253750245490902,1.22273384286938
"AAIC","right",3,"SAL",0.00237984873521643,1.14353885491747
