"file","term","term_beta","term_se"
"PMC","scale(z_recall)",0.00674152028905036,0.00208166039874462
"dmPFC","scale(z_recall)",0.0036107757712026,0.00207346495935404
"ATL","scale(z_recall)",0.00534155942501359,0.00207240089003377
"vmPFC","scale(z_recall)",0.00597166901896007,0.00207109978942363
"MTL","scale(z_recall)",0.00191013541607863,0.00207596928205588
"PreC","scale(z_recall)",0.00151263193856197,0.00208357085604326
"vLP","scale(z_recall)",0.00193876171732223,0.0020719314489392
"dLP","scale(z_recall)",0.00283406041450356,0.00207727933283127
"aLP","scale(z_recall)",0.0017801943611292,0.00208060263177944
"SMC","scale(z_recall)",0.00390585821488448,0.00208535179837556
