"file","term","term_beta","term_se"
"PMC","scale(z_viewing)",0.0111309074425977,0.00206429381444473
"dmPFC","scale(z_viewing)",0.00852243987117504,0.00205520558774937
"ATL","scale(z_viewing)",0.0053497028886823,0.00205551396663863
"vmPFC","scale(z_viewing)",0.0047150392649309,0.00205129259114071
"MTL","scale(z_viewing)",0.00520295777380675,0.00205139139097561
"PreC","scale(z_viewing)",0.00498455680899343,0.00207680814662899
"vLP","scale(z_viewing)",0.00485514825063753,0.00205167287959167
"dLP","scale(z_viewing)",0.00209901020645033,0.00206401562716592
"aLP","scale(z_viewing)",0.00310564639260409,0.0020623972247682
"SMC","scale(z_viewing)",0.00529953252240046,0.00205233404091297
